pluralism,n. 多元主义；多元性
grievous,adj. 严重的；令人悲伤的
renown,n. 名望；声誉
rancorous,adj. 怨恨的
certitude,n. 确信；确定
pervasive,adj. 普遍的；弥漫的
bode,v. 预示
pertinent,adj. 相关的
conceit,n. 自负
laudable,adj. 值得称赞的
pretext,n. 借口
sardonic,adj. 讥讽的
fray,n./v. 冲突；磨损
prolific,adj. 多产的
prudent,adj. 谨慎的
bestow,v. 授予
courteous,adj. 有礼貌的
retrospective,adj./n. 回顾的；回顾展
overt,adj. 公开的
strenuous,adj. 艰苦的
languish,v. 凋谢；受煎熬
exalt,v. 赞扬；提升
prodigious,adj. 巨大的
compile,v. 汇编
herald,v./n. 预示；使者
affable,adj. 和蔼的
adjoin,v. 毗连
incredulous,adj. 怀疑的
puritanical,adj. 严格的
stingy,adj. 吝啬的
preoccupation,n. 专注
fortuitous,adj. 偶然的
snide,adj. 讽刺的
rehabilitate,v. 恢复；改造
dubious,adj. 可疑的
accredit,v. 授权
concomitant,adj./n. 伴随的
astute,adj. 精明的
candid,adj. 坦率的
corporeal,adj. 肉体的
contempt,n. 轻蔑
subsist,v. 生存
proficient,adj. 熟练的；精通的
potency,n. 效力；影响力；支配力
somber,adj. 昏暗的；忧郁的
exalted,adj. 崇高的；高贵的；v. exalt 的过去分词形式
thrifty,adj. 节俭的；节省的
meticulous,adj. 细致的；一丝不苟的
condiment,n. 调味品
indignant,adj. 愤怒的；愤慨的
emblem,n. 徽章；象征
indolent,adj. 懒散的；不活跃的
despoil,v. 掠夺；蹂躏
copious,adj. 丰富的；大量的
append,v. 添加；附加
zest,n. 热情；兴趣
adamant,adj. 坚定不移的
chaste,adj. 贞洁的；朴素的
supplant,v. 取代
abreast,adv. 并排地
increment,n. 增量；增加
transient,adj. 短暂的；临时的
squander,v. 浪费；挥霍
pertain,v. 属于；有关
glossy,adj. 光滑的；有光泽的
afoul,adj./adv. 相冲突地
malleable,adj. 有延展性的；可塑的
flair,n. 才能；天赋
quiescent,adj. 静止的；安静的
meager,adj. 贫乏的；不足的
delineate,v. 描绘；描述
extort,v. 勒索
inanity,n. 空洞；无意义
grudge,n./v. 怨恨；不情愿地给
entrench,v. 牢固确立
ensconce,v. 安置
secular,adj. 世俗的
amble,v./n. 漫步
impel,v. 推动；促使
lateral,adj. 侧面的；横向的
frivolity,n. 轻浮；愚蠢行为
edifice,n. 大厦
inception,n. 开始
incongruity,n. 不协调
indecipherable,adj. 无法破译的
alienable,adj. 可转让的
brittle,adj. 易碎的
proofread,v. 校对
doctrine,n. 学说；教义
attorney,n. 律师
amiable,adj. 和蔼的
bountiful,adj. 丰富的；慷慨的
augment,v. 增加；增强
wary,adj. 小心的；警惕的
futile,adj. 无效的；无用的
fervor,n. 热情；热烈
upheaval,n. 剧变；动荡
knack,n. 诀窍；本领
intoxication,n. 醉；兴奋
flux,n. 变动；流动
stash,v. 隐藏；n. 贮藏物
amid,prep. 在之中
attire,n. 服饰；v. 给穿衣
primordial,adj. 原始的；最初的
compulsory,adj. 强制的；必修的
abridge,v. 缩短；删节
dispatch,v. 派遣；发送；n. 派遣
impending,adj. 即将发生的
gist,n. 要点；主旨
perspicuous,adj. 清楚易懂的
abbey,n. 修道院
squabble,v./n. 争吵；口角
paramount,adj. 至关重要的
crustacean,n./adj. 甲壳类动物（的）
gregarious,adj. 群居的；合群的
chafe,v. 摩擦；恼火；n. 摩擦
afflict,v. 使痛苦；折磨
sumptuous,adj. 奢华的；豪华的
crooked,adj. 弯曲的；不诚实的
sentimental,adj. 多愁善感的；感伤的
decadent,adj. 颓废的
adroit,adj. 熟练的；机敏的
robust,adj. 强壮的；健壮的
viscous,adj. 黏性的
contiguous,adj. 接壤的；连续的
abbreviate,v. 缩写；缩短
figurative,adj. 比喻的；象征的
voracious,adj. 贪婪的；求知欲强的
acclaim,v. 喝彩；称赞；n. 喝彩
frigid,adj. 寒冷的；冷淡的
boon,n. 恩惠；好处
exempt,adj. 被免除的；v. 免除
rudimentary,adj. 基本的；初级的
infiltrate,v. 渗透；潜入
dividend,n. 红利；股息；被除数
inquire,v. 询问；打听
pretension,n. 自命不凡；虚饰
disciple,n. 门徒；追随者
gauge,n./v. 测量仪；测量；判断
reciprocal,adj. 相互的；n. 倒数
curtail,v. 缩减；削减
inherent,adj. 固有的
impair,v. 损害；削弱
overhaul,v./n. 彻底检修
modulate,v. 调节；调整；调制
perquisite,n. 津贴；特权；利益
lucrative,adj. 有利可图的；赚钱的
redeem,v. 赎回；偿还；弥补
stagnant,adj. 停滞的；不景气的；污浊的
dogged,adj. 顽强的；坚持不懈的
adhere,v. 黏附；坚持；遵守
imperative,adj. 迫切的；必要的；命令的；n. 必要的事；命令
entail,v. 牵涉；使必要
consonant,adj. 一致的；协调的；n. 辅音
defiant,adj. 挑衅的；公然违抗的
placid,adj. 平静的；安静的
immutable,adj. 不开改变的；永恒的
ponderous,adj. 笨重的；沉闷的
frugal,adj. 节俭的
eschew,v. 回避；避开
deductive,adj. 演绎的；推论的
zealous,adj. 热情的；狂热的
obsolete,adj. 过时的；废弃的
shrewd,adj. 精明的；机敏的
onset,n. 开端；发生
proofread,v. 校对，验证
jargon,n. 行业术语，行话
stipulate,v. 规定，明确要求
stagnate,v. 停滞，不发展
zeal,n. 激情，热情
astray,adv. 迷路的，误入歧途的
yoke,n. 束缚，枷锁；v. 结合，联结
unanimous,adj. 全体一致的，一致同意的
partition,n. 分割物；v. 分割
contingent,adj. 因情况而定的；adj. (志趣相投，来自同一地方的) 代表团
courtesy,n. 谦逊有礼，有礼貌的举止
retrospect,n. 回顾，回想
preoccupy,v. 使日夜思考，使忧心忡忡
temperament,n. 气质，性情
curtail,v. 缩短，削减，剥夺
transient,adj. 短暂的，转瞬即逝的
snob,n. 势利小人，自命不凡者
almighty,adj. 全能的，极大的，有无限权力的
meticulous,adj. 细心的
unilateral,adj. 单方的
transistor,n. 晶体管
eloquent,adj. 雄辩的，口才流利的
beset,v. 困扰，威胁
quiver,n. 颤抖，抖动；v. 发抖
topple,v. 失去平衡而坠落，倒塌
allude,v. 暗指，影射
reminiscent,adj. 回忆往事的，怀旧的
blunder,n. (因无知，粗心犯下的) 错误；v. 跌跌撞撞的走，犯错误
ensue,v. 接着发生的
appease,v. 平息，抚慰
inflict,v. 使遭受打击，使吃苦头
henceforth,adv. 从今以后，从此以后
lenient,adj. 宽大的，厚道的
partisan,adj.过分支持的，偏袒的，盲目拥护的；n. 坚定的支持者
stout,adj. 肥胖的
inaugurate,v. 开始，开展，使正式就任，为举行落成仪式
jockey,n. 赛马骑师；v. 刷各种手段获取，运用手段谋取
hose,n. 软管，水龙带
proximate,adj. 直接的，最接近的
nil,n. 无，零
poise,n. 沉着自信，稳重，自若，优雅的举止；v. 保持，使稳定
ratify,v. 正式批准，使正式生效
plaintiff,n. 原告
secular,adj. 现世的，世俗的
clergy,n. 神职人员
adjoin,v. 贴进
faction,n. 派别，派系，小集团
midwife,n. 助产士，产婆
clench,v. 捏紧
cornerstone,n. 基础
monologue,n. 自言自语
ascertain,v. 弄清，查明
emancipate,v. 解放
pretext,n. 借口，托词
discern,v. 看出，察觉出
cholesterol,n. 胆固醇
entail,v. 牵涉，使成为必要
embark,"v. 上船 (或飞机，汽车), 着手，开始工作"
cater,v. 满足需要，迎合，承办酒席
allege,v. 断言，宣称
ferry,v. 渡运；n. 渡船
aspiration,n. 强烈的欲望，志向，抱负
inertia,n. 不活动，惰性
envisage,v. 想象，设想
hectic,adj. 繁忙的，发烧的
refrain,n. (诗歌的) 叠句，副歌；v. 克制，抑制
imminent,adj. 即将来临的
conscientious,adj. 认真的，勤勤恳恳的
contemplate,v. 盘算，计议，思量，凝视
scrape,v. 刮，擦，艰难取得，勉强获得；n. 刮，擦，自己造成的困境
wedge,n. 楔子；v. 塞入
enact,v. 制定或通过法律
credentials,n. 资历，资格，证书
rig,n. 船帆，成套器械；v. (用不正当手段) 操纵，垄断
akin,adj. 相似的，类似的
